"Município";"COD_SEC";"saldo_202012";"saldo_202102"
"Caxambu do Sul";"G";-3;0
"Caxambu do Sul";"H";0;0
"Caxambu do Sul";"K";-1;NA
"Celso Ramos";"C";-2;-1
"Celso Ramos";"E";3;NA
"Celso Ramos";"G";-2;2
"Celso Ramos";"H";1;0
"Cerro Negro";"A";NA;-1
"Cerro Negro";"C";NA;-1
"Cerro Negro";"G";-1;1
"Cerro Negro";"H";NA;2
"Chapadão do Lageado";"C";0;0
"Chapadão do Lageado";"F";1;2
"Chapadão do Lageado";"G";2;4
"Chapadão do Lageado";"H";1;1
"Chapadão do Lageado";"J";2;NA
"Chapecó";"A";-4;3
"Chapecó";"B";NA;-1
"Chapecó";"C";-289;366
"Chapecó";"D";-2;3
"Chapecó";"E";-6;12
"Chapecó";"F";-175;156
"Chapecó";"G";41;196
"Chapecó";"H";-14;47
"Chapecó";"I";4;40
"Chapecó";"J";-4;33
"Chapecó";"K";31;35
"Chapecó";"L";-7;14
"Chapecó";"M";-17;8
"Chapecó";"N";-65;145
"Chapecó";"O";1;-3
"Chapecó";"P";-89;78
"Chapecó";"Q";17;149
"Chapecó";"R";-10;6
"Chapecó";"S";-28;19
"Chapecó";"T";-1;6
"Cocal do Sul";"B";NA;3
"Cocal do Sul";"C";16;38
"Cocal do Sul";"D";NA;1
"Cocal do Sul";"E";0;4
"Cocal do Sul";"F";-2;-2
"Cocal do Sul";"G";8;6
"Cocal do Sul";"H";10;-4
"Cocal do Sul";"I";-1;0
"Cocal do Sul";"K";1;0
"Cocal do Sul";"L";-1;NA
"Cocal do Sul";"M";-2;-2
"Cocal do Sul";"N";1;4
"Cocal do Sul";"O";-2;NA
"Cocal do Sul";"P";0;-3
"Cocal do Sul";"Q";3;2
"Cocal do Sul";"S";-2;7
"Concórdia";"A";-2;0
"Concórdia";"B";1;-1
"Concórdia";"C";-223;69
"Concórdia";"D";-2;1
"Concórdia";"E";1;NA
"Concórdia";"F";-43;79
"Concórdia";"G";-21;61
"Concórdia";"H";14;2
"Concórdia";"I";-18;3
"Concórdia";"J";-8;23
"Concórdia";"K";-2;8
"Concórdia";"L";0;-1
"Concórdia";"M";-1;3
"Concórdia";"N";-1;34
"Concórdia";"O";-275;260
