,Column1,Município,Setor,Porte,Empresas,Empregados,Unnamed: 5,Fonte dos dados: RAIS (2019),vice_presidencia
280,280,Balneário Gaivota,AGROPECUÁRIA,Micro,7,13,0,0,Sul
281,281,Balneário Gaivota,AGROPECUÁRIA,Pequena,1,17,0,0,Sul
282,282,Balneário Gaivota,COMÉRCIO,Micro,82,152,0,0,Sul
283,283,Balneário Gaivota,COMÉRCIO,Pequena,5,103,0,0,Sul
284,284,Balneário Gaivota,INDÚSTRIA,Micro,59,212,0,0,Sul
285,285,Balneário Gaivota,INDÚSTRIA,Pequena,4,162,0,0,Sul
286,286,Balneário Gaivota,SERVIÇOS,Grande,1,453,0,0,Sul
287,287,Balneário Gaivota,SERVIÇOS,Micro,57,100,0,0,Sul
288,288,Balneário Gaivota,SERVIÇOS,Pequena,1,36,0,0,Sul
289,289,Balneário Gaivota,TRANSPORTE,Micro,10,18,0,0,Sul
290,290,Balneário Gaivota,TRANSPORTE,Pequena,1,17,0,0,Sul
291,291,Balneário Piçarras,AGROPECUÁRIA,Micro,11,21,0,0,Foz do Rio Itajaí
292,292,Balneário Piçarras,AGROPECUÁRIA,Pequena,1,16,0,0,Foz do Rio Itajaí
293,293,Balneário Piçarras,COMÉRCIO,Grande,1,306,0,0,Foz do Rio Itajaí
294,294,Balneário Piçarras,COMÉRCIO,Micro,222,370,0,0,Foz do Rio Itajaí
295,295,Balneário Piçarras,COMÉRCIO,Média,3,296,0,0,Foz do Rio Itajaí
296,296,Balneário Piçarras,COMÉRCIO,Pequena,28,556,0,0,Foz do Rio Itajaí
297,297,Balneário Piçarras,INDÚSTRIA,Micro,112,373,0,0,Foz do Rio Itajaí
298,298,Balneário Piçarras,INDÚSTRIA,Média,2,272,0,0,Foz do Rio Itajaí
299,299,Balneário Piçarras,INDÚSTRIA,Pequena,9,439,0,0,Foz do Rio Itajaí
300,300,Balneário Piçarras,SERVIÇOS,Grande,1,561,0,0,Foz do Rio Itajaí
301,301,Balneário Piçarras,SERVIÇOS,Micro,223,371,0,0,Foz do Rio Itajaí
302,302,Balneário Piçarras,SERVIÇOS,Média,1,54,0,0,Foz do Rio Itajaí
303,303,Balneário Piçarras,SERVIÇOS,Pequena,31,591,0,0,Foz do Rio Itajaí
304,304,Balneário Piçarras,TRANSPORTE,Micro,21,43,0,0,Foz do Rio Itajaí
305,305,Balneário Piçarras,TRANSPORTE,Pequena,3,36,0,0,Foz do Rio Itajaí
306,306,Balneário Rincão,AGROPECUÁRIA,Micro,2,7,0,0,Sul
307,307,Balneário Rincão,COMÉRCIO,Micro,76,156,0,0,Sul
308,308,Balneário Rincão,COMÉRCIO,Média,1,110,0,0,Sul
309,309,Balneário Rincão,COMÉRCIO,Pequena,6,217,0,0,Sul
310,310,Balneário Rincão,INDÚSTRIA,Micro,33,183,0,0,Sul
311,311,Balneário Rincão,INDÚSTRIA,Pequena,6,250,0,0,Sul
312,312,Balneário Rincão,SERVIÇOS,Grande,1,302,0,0,Sul
