,Município,pib,pib_per_capita,populacaoFonte dos dados: IBGE (2018),vice_presidencia
253,São Ludgero,R$ 636350000,48336.4982909229,13165,Litoral Sul
254,São Martinho,R$ 81325000,25501.7246785826,3189,Litoral Sul
255,São Miguel da Boa Vista,R$ 36642000,19990.1800327332,1833,Oeste
256,São Miguel do Oeste,R$ 1521972000,37963.8812671489,40090,Extremo Oeste
257,São Pedro de Alcântara,R$ 80863000,14164.126817306,5709,Sudeste
258,Saudades,R$ 321903000,33257.8778799463,9679,Oeste
259,Schroeder,R$ 499670000,24106.0401389425,20728,Vale do Itapocu
260,Seara,R$ 799913000,45693.6478921513,17506,Alto Uruguai Catarinense
261,Serra Alta,R$ 81306000,24864.2201834862,3270,Oeste
262,Siderópolis,R$ 466717000,33528.5201149425,13920,Sul
263,Sombrio,R$ 785293000,26167.710763079,30010,Sul
264,Sul Brasil,R$ 56386000,22554.4,2500,Oeste
265,Taió,R$ 599959000,32781.0621789968,18302,Alto Vale do Itajaí
266,Tangará,R$ 409469000,47114.14106547,8691,Centro-Oeste
267,Tigrinhos,R$ 42287000,25690.7654921021,1646,Oeste
268,Tijucas,R$ 1539749000,40901.8196307611,37645,Sudeste
269,Timbé do Sul,R$ 128870000,24069.8543145312,5354,Sul
270,Timbó,R$ 1858869000,42748.3442185632,43484,Vale do Itajaí
271,Timbó Grande,R$ 197331000,25259.9846390169,7812,Centro-Norte
272,Três Barras,R$ 1113578000,58050.2528280248,19183,Centro-Norte
273,Treviso,R$ 204544000,52568.4913903881,3891,Sul
274,Treze de Maio,R$ 147504000,20863.3663366337,7070,Litoral Sul
275,Treze Tílias,R$ 613123000,79761.0251073241,7687,Centro-Oeste
276,Trombudo Central,R$ 254269000,34907.8802855574,7284,Alto Vale do Itajaí
277,Tubarão,R$ 3741552000,35655.2217044512,104937,Litoral Sul
278,Tunápolis,R$ 124218000,27234.8169261127,4561,Extremo Oeste
279,Turvo,R$ 538192000,42026.5500546619,12806,Sul
280,União do Oeste,R$ 59537000,23653.9531187922,2517,Oeste
281,Urubici,R$ 250464000,22372.8450200983,11195,Serra Catarinense
282,Urupema,R$ 54677000,22118.5275080906,2472,Serra Catarinense
283,Urussanga,R$ 835697000,39438.2727701746,21190,Sul
284,Vargeão,R$ 131916000,36899.5804195804,3575,Oeste
285,Vargem,R$ 61414000,24351.3084853291,2522,Centro-Oeste
286,Vargem Bonita,R$ 392371000,86539.7000441112,4534,Centro-Oeste
287,Vidal Ramos,R$ 287462000,45291.0036237593,6347,Vale do Itajaí Mirim
288,Videira,R$ 2427864000,46236.2216720625,52510,Centro-Norte
289,Vitor Meireles,R$ 118551000,23643.996808935,5014,Alto Vale do Itajaí
290,Witmarsum,R$ 129233000,32866.988809766,3932,Alto Vale do Itajaí
291,Xanxerê,R$ 1703710000,33864.914826373,50309,Oeste
292,Xavantina,R$ 216185000,54550.8453192026,3963,Alto Uruguai Catarinense
293,Xaxim,R$ 947825000,33345.9400506614,28424,Oeste
294,Zortéa,R$ 71185000,21389.7235576923,3328,Centro-Oeste
